BusinessName,Yelp URL,Google Review Link,Average Rating,Total Ratings,Address
% Arabica,https://www.yelp.com/biz/arabica-brooklyn?osq=coffee,https://www.google.com/search?q=%+Arabica20+Old+Fulton+St+Brooklyn+NY+11201,4.3,232,"20 Old Fulton St, Brooklyn, NY 11201","% Arabica
20 Old Fulton St
Tsaocaa - Secaucus,https://www.yelp.com/biz/tsaocaa-secaucus-secaucus?osq=boba,https://www.google.com/search?q=Tsaocaa+-+SecaucusN/A,4.8,4,N/A,"Tsaocaa - Secaucus
700 Plaza Dr
New York, NY 10010"
Shiny Tea,https://www.yelp.com/biz/shiny-tea-new-york?osq=boba,https://www.google.com/search?q=Shiny+Tea2667+Broadway+New+York+NY+10025,4.4,148,"2667 Broadway, New York, NY 10025","Shiny Tea
2667 Broadway
New York, NY 10025"
Meet Fresh,https://www.yelp.com/biz/meet-fresh-new-york-2?osq=boba,https://www.google.com/search?q=Meet+Fresh37+Cooper+Sq+New+York+NY+10003,3.3,565,"37 Cooper Sq, New York, NY 10003","Meet Fresh
37 Cooper Sq
New York, NY 10003"
Boba Guys - Nolita,https://www.yelp.com/biz/boba-guys-nolita-new-york-2?osq=boba,https://www.google.com/search?q=Boba+Guys+-+Nolita35+Spring+St+New+York+NY+10012,3.0,29,"35 Spring St, New York, NY 10012","Boba Guys - Nolita
35 Spring St
New York, NY 10012"
Yifang Taiwan Fruit Tea,https://www.yelp.com/biz/yifang-taiwan-fruit-tea-new-york-7?osq=boba,https://www.google.com/search?q=Yifang+Taiwan+Fruit+Tea1028+6th+Ave+New+York+NY+10018,3.7,94,"1028 6th Ave, New York, NY 10018","Yifang Taiwan Fruit Tea
1028 6th Ave
New York, NY 10018"
The Whale Tea - Hoboken,https://www.yelp.com/biz/the-whale-tea-hoboken-hoboken?osq=boba,https://www.google.com/search?q=The+Whale+Tea+-+HobokenN/A,4.4,19,N/A,"The Whale Tea - Hoboken
303B 1st St
New York, NY 10018"
Honestea,https://www.yelp.com/biz/honestea-new-york?osq=boba,https://www.google.com/search?q=Honestea173+Hester+St+New+York+NY+10013,3.6,138,"173 Hester St, New York, NY 10013","Honestea
173 Hester St
New York, NY 10013"
Poppy Poppy,https://www.yelp.com/biz/poppy-poppy-new-york?osq=boba,https://www.google.com/search?q=Poppy+Poppy617+9th+Ave+New+York+NY+10036,4.4,16,"617 9th Ave, New York, NY 10036","Poppy Poppy
617 9th Ave
New York, NY 10036"
Libra Cake,https://www.yelp.com/biz/libra-cake-brooklyn-2?osq=boba,https://www.google.com/search?q=Libra+Cake4505+8th+Ave+Brooklyn+NY+11220,4.6,9,"4505 8th Ave, Brooklyn, NY 11220","Libra Cake
4505 8th Ave
Brooklyn, NY 11220"
Tiger Sugar,https://www.yelp.com/biz/tiger-sugar-brooklyn?osq=boba,https://www.google.com/search?q=Tiger+Sugar5903+8th+Ave+Brooklyn+NY+11220,4.0,195,"5903 8th Ave, Brooklyn, NY 11220","Tiger Sugar
5903 8th Ave
Brooklyn, NY 11220"
Gong Cha,https://www.yelp.com/biz/gong-cha-new-york-32?osq=boba,https://www.google.com/search?q=Gong+Cha1600+Broadway+New+York+NY+10019,4.1,59,"1600 Broadway, New York, NY 10019","Gong Cha
1600 Broadway
New York, NY 10019"
Jupioca,https://www.yelp.com/biz/jupioca-new-york-15?osq=boba,https://www.google.com/search?q=Jupioca455+Main+St+New+York+NY+10044,3.7,13,"455 Main St, New York, NY 10044","Jupioca
455 Main St
New York, NY 10044"
gotea,https://www.yelp.com/biz/gotea-brooklyn-4?osq=boba,https://www.google.com/search?q=gotea1104+Ave+U+Brooklyn+NY+11223,5.0,6,"1104 Ave U, Brooklyn, NY 11223","gotea
1104 Ave U
Brooklyn, NY 11223"
Kopifellas,https://www.yelp.com/biz/kopifellas-new-york?osq=boba,https://www.google.com/search?q=Kopifellas135+W+50th+St+New+York+NY+10020,4.1,44,"135 W 50th St, New York, NY 10020","Kopifellas
135 W 50th St
New York, NY 10020"
CoCo Fresh Tea &amp; Juice,https://www.yelp.com/biz/coco-fresh-tea-and-juice-new-york-3?osq=boba,https://www.google.com/search?q=CoCo+Fresh+Tea+&amp;+Juice38+Lexington+Ave+New+York+NY+10010,3.6,251,"38 Lexington Ave, New York, NY 10010","CoCo Fresh Tea &amp; Juice
38 Lexington Ave
New York, NY 10010"
Bing Ling Tea,https://www.yelp.com/biz/bing-ling-tea-brooklyn?osq=boba,https://www.google.com/search?q=Bing+Ling+Tea553+86th+St+Brooklyn+Brooklyn+NY+11209,4.3,8,"553 86th St Brooklyn, Brooklyn, NY 11209","Bing Ling Tea
553 86th St Brooklyn
Brooklyn, NY 11209"
Lil M Bubble Tea,https://www.yelp.com/biz/lil-m-bubble-tea-staten-island?osq=boba,https://www.google.com/search?q=Lil+M+Bubble+TeaN/A,4.6,14,N/A,"Lil M Bubble Tea
1764 Victory Blvd
Brooklyn, NY 11209"
Sweetory,https://www.yelp.com/biz/sweetory-jackson-heights?osq=boba,https://www.google.com/search?q=SweetoryN/A,4.4,147,N/A,"Sweetory
71-28 Roosevelt
Jackson Heights, NY 11372</span></p></a"
Teazzi Tea Shop,https://www.yelp.com/biz/teazzi-tea-shop-long-island-city?osq=boba,https://www.google.com/search?q=Teazzi+Tea+ShopN/A,4.1,67,N/A,"Teazzi Tea Shop
43-21 Hunter St
Long Island City, NY 11101</span></p></"
Rui Tea,https://www.yelp.com/biz/rui-tea-jersey-city?osq=boba,https://www.google.com/search?q=Rui+TeaN/A,4.6,39,N/A,"Rui Tea
10 Provost St
Ste A3</span></p><p class="" css-qgunke"""
Dekalb Market Hall,https://www.yelp.com/biz/dekalb-market-hall-brooklyn-2?osq=boba,https://www.google.com/search?q=Dekalb+Market+HallN/A,4.2,779,N/A,"Dekalb Market Hall
445 Albee Sq W
Basement Level</span></p><p class="" css"
A-Yo Tea Shop,https://www.yelp.com/biz/a-yo-tea-shop-jersey-city?osq=boba,https://www.google.com/search?q=A-Yo+Tea+ShopN/A,4.4,31,N/A,"A-Yo Tea Shop
110 1st St
Basement Level</span></p><p class="" css"
Taiyaki NYC,https://www.yelp.com/biz/taiyaki-nyc-new-york?osq=boba,https://www.google.com/search?q=Taiyaki+NYC119+Baxter+St+New+York+NY+10013,4.3,N/A,"119 Baxter St, New York, NY 10013","Taiyaki NYC
119 Baxter St
New York, NY 10013"
Panda Bubble Tea,https://www.yelp.com/biz/panda-bubble-tea-new-york?osq=boba,https://www.google.com/search?q=Panda+Bubble+Tea1000+S+8th+Ave+New+York+NY+10019,3.8,131,"1000 S 8th Ave, New York, NY 10019","Panda Bubble Tea
1000 S 8th Ave
New York, NY 10019"
Tap NYC,https://www.yelp.com/biz/tap-nyc-new-york-4?osq=boba,https://www.google.com/search?q=Tap+NYC267+Columbus+Ave+New+York+NY+10023,3.9,263,"267 Columbus Ave, New York, NY 10023","Tap NYC
267 Columbus Ave
New York, NY 10023"
Siips Bubble,https://www.yelp.com/biz/siips-bubble-elmhurst?osq=boba,https://www.google.com/search?q=Siips+Bubble7408+Grand+Ave+Elmhurst+NY+11373,4.3,36,"7408 Grand Ave, Elmhurst, NY 11373","Siips Bubble
7408 Grand Ave
Elmhurst, NY 11373"
MOGE TEE SUNNYSIDE,https://www.yelp.com/biz/moge-tee-sunnyside-sunnyside?osq=boba,https://www.google.com/search?q=MOGE+TEE+SUNNYSIDEN/A,4.1,17,N/A,"MOGE TEE SUNNYSIDE
45-18 Queens Blvd
Sunnyside, NY 11104</span></p></address"
Coconut&amp;More,https://www.yelp.com/biz/coconut-and-more-elmhurst?osq=boba,https://www.google.com/search?q=Coconut&amp;More90-15+Queens+Blvd+Elmhurst+NY+11373,4.7,3,"90-15 Queens Blvd, Elmhurst, NY 11373","Coconut&amp;More
90-15 Queens Blvd
Elmhurst, NY 11373"
INFINITEA,https://www.yelp.com/biz/infinitea-astoria?osq=boba,https://www.google.com/search?q=INFINITEA28-56+34th+St+Astoria+NY+11103,4.7,6,"28-56 34th St, Astoria, NY 11103","INFINITEA
28-56 34th St
Astoria, NY 11103"
Kyuramen - Park Slope,https://www.yelp.com/biz/kyuramen-park-slope-brooklyn?osq=boba,https://www.google.com/search?q=Kyuramen+-+Park+Slope155+5th+Ave+Brooklyn+NY+11217,4.4,211,"155 5th Ave, Brooklyn, NY 11217","Kyuramen - Park Slope
155 5th Ave
Brooklyn, NY 11217"
ViVi Bubble Tea,https://www.yelp.com/biz/vivi-bubble-tea-new-york-22?osq=boba,https://www.google.com/search?q=ViVi+Bubble+Tea18+W+14th+St+New+York+NY+10011,3.4,80,"18 W 14th St, New York, NY 10011","ViVi Bubble Tea
18 W 14th St
New York, NY 10011"
Momo Ashi,https://www.yelp.com/biz/momo-ashi-queens-5?osq=boba,https://www.google.com/search?q=Momo+Ashi60-11+Roosevelt+Ave+Queens+NY+11377,4.6,9,"60-11 Roosevelt Ave, Queens, NY 11377","Momo Ashi
60-11 Roosevelt Ave
Queens, NY 11377"
Fong On,https://www.yelp.com/biz/fong-on-new-york?osq=boba,https://www.google.com/search?q=Fong+On81+Division+St+New+York+NY+10002,4.4,271,"81 Division St, New York, NY 10002","Fong On
81 Division St
New York, NY 10002"
CoCo Fresh Tea &amp; Juice,https://www.yelp.com/biz/coco-fresh-tea-and-juice-jersey-city-2?osq=boba,https://www.google.com/search?q=CoCo+Fresh+Tea+&amp;+JuiceN/A,3.9,40,N/A,"CoCo Fresh Tea &amp; Juice
420 Grand St
New York, NY 10002"
Hawa Smoothie &amp; Bubble Tea,https://www.yelp.com/biz/hawa-smoothie-and-bubble-tea-new-york-6?osq=boba,https://www.google.com/search?q=Hawa+Smoothie+&amp;+Bubble+Tea201+E+33rd+St+New+York+NY+10016,4.9,7,"201 E 33rd St, New York, NY 10016","Hawa Smoothie &amp; Bubble Tea
201 E 33rd St
New York, NY 10016"
Walking.Tea,https://www.yelp.com/biz/walking-tea-new-york?osq=boba,https://www.google.com/search?q=Walking.Tea1165+2nd+Ave+New+York+NY+10065,3.5,13,"1165 2nd Ave, New York, NY 10065","Walking.Tea
1165 2nd Ave
New York, NY 10065"
JUA,https://www.yelp.com/biz/jua-new-york?osq=boba,https://www.google.com/search?q=JUA36+E+22nd+St+New+York+NY+10010,4.7,334,"36 E 22nd St, New York, NY 10010","JUA
36 E 22nd St
New York, NY 10010"
Hawa Smoothies,https://www.yelp.com/biz/hawa-smoothies-new-york-4?osq=boba,https://www.google.com/search?q=Hawa+SmoothiesN/A,4.2,110,N/A,"Hawa Smoothies
181 E Broadway
Ste A</span></p><p class="" css-1sb02f4"""
Smoove Ice Cream,https://www.yelp.com/biz/smoove-ice-cream-new-york-2?osq=boba,https://www.google.com/search?q=Smoove+Ice+Cream279+Grand+St+New+York+NY+10002,4.5,214,"279 Grand St, New York, NY 10002","Smoove Ice Cream
279 Grand St
New York, NY 10002"
Anjelly,https://www.yelp.com/biz/anjelly-new-york?osq=boba,https://www.google.com/search?q=Anjelly103+Saint+Marks+Pl+New+York+NY+10009,5.0,3,"103 Saint Marks Pl, New York, NY 10009","Anjelly
103 Saint Marks Pl
New York, NY 10009"
Red Mango,https://www.yelp.com/biz/red-mango-new-york-37?osq=boba,https://www.google.com/search?q=Red+Mango111+Fulton+St+New+York+NY+10038,3.4,130,"111 Fulton St, New York, NY 10038","Red Mango
111 Fulton St
New York, NY 10038"
PYO Chai,https://www.yelp.com/biz/pyo-chai-stewart-manor?osq=boba,https://www.google.com/search?q=PYO+ChaiN/A,4.5,173,N/A,"PYO Chai
100 Covert Avenue Stewart Manor Ny 11530
New York, NY 10038"
Caffe Bene,https://www.yelp.com/biz/caffe-bene-new-york-34?osq=boba,https://www.google.com/search?q=Caffe+Bene378+Canal+St+New+York+NY+10013,4.2,143,"378 Canal St, New York, NY 10013","Caffe Bene
378 Canal St
New York, NY 10013"
Sugarcube New York,https://www.yelp.com/biz/sugarcube-new-york-queens?osq=boba,https://www.google.com/search?q=Sugarcube+New+York4007+82nd+St+Queens+NY+11373,4.5,27,"4007 82nd St, Queens, NY 11373","Sugarcube New York
4007 82nd St
Queens, NY 11373"
Boba Whale,https://www.yelp.com/biz/boba-whale-new-york?osq=boba,https://www.google.com/search?q=Boba+Whale1138+1st+Ave+New+York+NY+10065,4.8,4,"1138 1st Ave, New York, NY 10065","Boba Whale
1138 1st Ave
New York, NY 10065"
Kung Fu Tea,https://www.yelp.com/biz/kung-fu-tea-new-york-31?osq=boba,https://www.google.com/search?q=Kung+Fu+Tea73+Chrystie+St+New+York+NY+10002,3.9,424,"73 Chrystie St, New York, NY 10002","Kung Fu Tea
73 Chrystie St
New York, NY 10002"
Hui Lau Shan,https://www.yelp.com/biz/hui-lau-shan-east-rutherford?osq=boba,https://www.google.com/search?q=Hui+Lau+ShanN/A,2.9,53,N/A,"Hui Lau Shan
1 American Dream Way
Ste A113</span></p><p class="" css-qgunk"
Mr. Wish,https://www.yelp.com/biz/mr-wish-ridgewood?osq=boba,https://www.google.com/search?q=Mr.+WishN/A,3.8,10,N/A,"Mr. Wish
6627 Fresh Pond Rd
Ridgewood, NY 11385</span></p></address"
Jupioca,https://www.yelp.com/biz/jupioca-brooklyn?osq=boba,https://www.google.com/search?q=Jupioca278+Wyckoff+Ave+Brooklyn+NY+11237,3.8,34,"278 Wyckoff Ave, Brooklyn, NY 11237","Jupioca
278 Wyckoff Ave
Brooklyn, NY 11237"
Banhmigos,https://www.yelp.com/biz/banhmigos-brooklyn-5?osq=boba,https://www.google.com/search?q=Banhmigos178+Lincoln+Pl+Brooklyn+NY+11217,4.0,320,"178 Lincoln Pl, Brooklyn, NY 11217","Banhmigos
178 Lincoln Pl
Brooklyn, NY 11217"
19 El,https://www.yelp.com/biz/19-el-brooklyn?osq=boba,https://www.google.com/search?q=19+El806+54th+St+Brooklyn+NY+11220,4.4,10,"806 54th St, Brooklyn, NY 11220","19 El
806 54th St
Brooklyn, NY 11220"
Dimmer &amp; Summer,https://www.yelp.com/biz/dimmer-and-summer-brooklyn?osq=boba,https://www.google.com/search?q=Dimmer+&amp;+Summer196+Smith+St+Brooklyn+NY+11201,4.1,77,"196 Smith St, Brooklyn, NY 11201","Dimmer &amp; Summer
196 Smith St
Brooklyn, NY 11201"
Hawa Smoothies &amp; Bubble Tea,https://www.yelp.com/biz/hawa-smoothies-and-bubble-tea-new-york?osq=boba,https://www.google.com/search?q=Hawa+Smoothies+&amp;+Bubble+Tea422+E+14th+St+New+York+NY+10009,4.6,121,"422 E 14th St, New York, NY 10009","Hawa Smoothies &amp; Bubble Tea
422 E 14th St
New York, NY 10009"
Banhmigos,https://www.yelp.com/biz/banhmigos-brooklyn-7?osq=boba,https://www.google.com/search?q=Banhmigos92+Court+St+Brooklyn+NY+11201,4.3,77,"92 Court St, Brooklyn, NY 11201","Banhmigos
92 Court St
Brooklyn, NY 11201"
Lin &amp; Daughters,https://www.yelp.com/biz/lin-and-daughters-new-york?osq=boba,https://www.google.com/search?q=Lin+&amp;+Daughters181+West+4th+St+New+York+NY+10014,4.7,60,"181 West 4th St, New York, NY 10014","Lin &amp; Daughters
181 West 4th St
New York, NY 10014"
Hanco&#x27;s,https://www.yelp.com/biz/hancos-brooklyn-4?osq=boba,https://www.google.com/search?q=Hanco&#x27;s147+Montague+St+Brooklyn+NY+11201,3.6,325,"147 Montague St, Brooklyn, NY 11201","Hanco&#x27;s
147 Montague St
Brooklyn, NY 11201"
ViVi Bubble Tea,https://www.yelp.com/biz/vivi-bubble-tea-new-york-32?osq=boba,https://www.google.com/search?q=ViVi+Bubble+Tea30+3rd+Ave+New+York+NY+10003,3.6,76,"30 3rd Ave, New York, NY 10003","ViVi Bubble Tea
30 3rd Ave
New York, NY 10003"
Mi Tea,https://www.yelp.com/biz/mi-tea-forest-hills?osq=boba,https://www.google.com/search?q=Mi+TeaN/A,4.1,107,N/A,"Mi Tea
107-22 Continental Ave
Forest Hills, NY 11375</span></p></addr"
Shinbashi 72,https://www.yelp.com/biz/shinbashi-72-new-york?osq=boba,https://www.google.com/search?q=Shinbashi+72218+W+72nd+St+New+York+NY+10023,4.7,92,"218 W 72nd St, New York, NY 10023","Shinbashi 72
218 W 72nd St
New York, NY 10023"
Waffle &amp; Bubble,https://www.yelp.com/biz/waffle-and-bubble-union-city-3?osq=boba,https://www.google.com/search?q=Waffle+&amp;+BubbleN/A,4.0,34,N/A,"Waffle &amp; Bubble
2300 Summit Ave
New York, NY 10023"
Cozy Tea Loft,https://www.yelp.com/biz/cozy-tea-loft-edison?osq=boba,https://www.google.com/search?q=Cozy+Tea+LoftN/A,4.6,28,N/A,"Cozy Tea Loft
141 State Rt 27
New York, NY 10023"
ViVi Bubble Tea,https://www.yelp.com/biz/vivi-bubble-tea-staten-island?osq=boba,https://www.google.com/search?q=ViVi+Bubble+TeaN/A,4.1,45,N/A,"ViVi Bubble Tea
532B Forest Ave
Staten Island, NY 10310</span></p></add"
ViVi Bubble Tea,https://www.yelp.com/biz/vivi-bubble-tea-new-york-10?osq=boba,https://www.google.com/search?q=ViVi+Bubble+Tea226+E+14th+St+New+York+NY+10003,3.7,153,"226 E 14th St, New York, NY 10003","ViVi Bubble Tea
226 E 14th St
New York, NY 10003"
Maiko Matcha Cafe,https://www.yelp.com/biz/maiko-matcha-cafe-new-york-6?osq=boba,https://www.google.com/search?q=Maiko+Matcha+Cafe132+Bowery+New+York+NY+10013,4.2,118,"132 Bowery, New York, NY 10013","Maiko Matcha Cafe
132 Bowery
New York, NY 10013"
Vanessa&#x27;s Dumpling House,https://www.yelp.com/biz/vanessas-dumpling-house-brooklyn?osq=boba,https://www.google.com/search?q=Vanessa&#x27;s+Dumpling+House310+Bedford+Ave+Brooklyn+NY+11211,3.6,586,"310 Bedford Ave, Brooklyn, NY 11211","Vanessa&#x27;s Dumpling House
310 Bedford Ave
Brooklyn, NY 11211"
Canal Street Market,https://www.yelp.com/biz/canal-street-market-new-york?osq=boba,https://www.google.com/search?q=Canal+Street+Market265+Canal+St+New+York+NY+10013,4.1,218,"265 Canal St, New York, NY 10013","Canal Street Market
265 Canal St
New York, NY 10013"
Kitsby,https://www.yelp.com/biz/kitsby-new-york-4?osq=boba,https://www.google.com/search?q=KitsbyN/A,3.8,35,N/A,"Kitsby
75 9th Ave
Chelsea Market</span></p><p class="" css"
Tornado Crepe,https://www.yelp.com/biz/tornado-crepe-brooklyn?osq=boba,https://www.google.com/search?q=Tornado+Crepe307+Knickerbocker+Ave+Brooklyn+NY+11237,4.0,74,"307 Knickerbocker Ave, Brooklyn, NY 11237","Tornado Crepe
307 Knickerbocker Ave
Brooklyn, NY 11237"
Hawa Smoothies and Bubble Tea,https://www.yelp.com/biz/hawa-smoothies-and-bubble-tea-new-york-6?osq=boba,https://www.google.com/search?q=Hawa+Smoothies+and+Bubble+Tea1293+1st+Ave+New+York+NY+10021,4.3,59,"1293 1st Ave, New York, NY 10021","Hawa Smoothies and Bubble Tea
1293 1st Ave
New York, NY 10021"
Williamsburg Smorgasburg - Saturday,https://www.yelp.com/biz/williamsburg-smorgasburg-saturday-brooklyn?osq=boba,https://www.google.com/search?q=Williamsburg+Smorgasburg+-+SaturdayN/A,4.3,N/A,N/A,"Williamsburg Smorgasburg - Saturday
90 Kent Ave
East River State Park</span></p><p clas"
Sushi Lab Rooftop,https://www.yelp.com/biz/sushi-lab-rooftop-new-york-2?osq=boba,https://www.google.com/search?q=Sushi+Lab+Rooftop132+W+47th+St+New+York+NY+10036,4.1,566,"132 W 47th St, New York, NY 10036","Sushi Lab Rooftop
132 W 47th St
New York, NY 10036"
Bake Culture,https://www.yelp.com/biz/bake-culture-staten-island?osq=boba,https://www.google.com/search?q=Bake+CultureN/A,4.3,19,N/A,"Bake Culture
55 Richmond Ter
Staten Island, NY 10301</span></p></add"
Taiwan Bear House,https://www.yelp.com/biz/taiwan-bear-house-new-york?osq=boba,https://www.google.com/search?q=Taiwan+Bear+House11+Pell+St+New+York+NY+10013,3.9,355,"11 Pell St, New York, NY 10013","Taiwan Bear House
11 Pell St
New York, NY 10013"
Japan Village,https://www.yelp.com/biz/japan-village-brooklyn?osq=boba,https://www.google.com/search?q=Japan+Village934+3rd+Ave+Brooklyn+NY+11232,3.4,299,"934 3rd Ave, Brooklyn, NY 11232","Japan Village
934 3rd Ave
Brooklyn, NY 11232"
Jupioca,https://www.yelp.com/biz/jupioca-new-york-10?osq=boba,https://www.google.com/search?q=Jupioca1457+York+Ave+New+York+NY+10075,4.1,58,"1457 York Ave, New York, NY 10075","Jupioca
1457 York Ave
New York, NY 10075"
Bobba Hubba,https://www.yelp.com/biz/bobba-hubba-elmhurst?osq=boba,https://www.google.com/search?q=Bobba+Hubba40-36+75th+St+Elmhurst+NY+11373,4.5,38,"40-36 75th St, Elmhurst, NY 11373","Bobba Hubba
40-36 75th St
Elmhurst, NY 11373"
Meet Fresh,https://www.yelp.com/biz/meet-fresh-brooklyn?osq=boba,https://www.google.com/search?q=Meet+Fresh5815+8th+Ave+Brooklyn+NY+11220,3.8,110,"5815 8th Ave, Brooklyn, NY 11220","Meet Fresh
5815 8th Ave
Brooklyn, NY 11220"
Hawa Smoothies &amp; Bubble Tea,https://www.yelp.com/biz/hawa-smoothies-and-bubble-tea-new-york-7?osq=boba,https://www.google.com/search?q=Hawa+Smoothies+&amp;+Bubble+Tea1151+2nd+Ave+New+York+NY+10065,4.6,22,"1151 2nd Ave, New York, NY 10065","Hawa Smoothies &amp; Bubble Tea
1151 2nd Ave
New York, NY 10065"
PokéBowl Station,https://www.yelp.com/biz/pok%C3%A9bowl-station-brooklyn-6?osq=boba,https://www.google.com/search?q=PokéBowl+Station237+Flatbush+Ave+Brooklyn+NY+11217,4.0,122,"237 Flatbush Ave, Brooklyn, NY 11217","PokéBowl Station
237 Flatbush Ave
Brooklyn, NY 11217"
Boba &amp; Bean,https://www.yelp.com/biz/boba-and-bean-long-island-city?osq=boba,https://www.google.com/search?q=Boba+&amp;+BeanN/A,4.0,2,N/A,"Boba &amp; Bean
2222 Jackson Ave
Long Island City, NY 11101</span></p></"
